[26-Jun-2025 10:03:34 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 10:03:46 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 10:03:54 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 10:04:04 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 10:05:28 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 10:05:28 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 10:11:55 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 10:14:23 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 10:18:17 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 10:18:25 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 10:19:05 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 10:19:20 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
[26-Jun-2025 10:19:37 Europe/Berlin] DBG obtener_mensajes: hasRow=1, estadoChat=1, estadoApo=1
